,Brd4_n_foci,Brd4_density_per_um3,Brd4_foci_vol_mean_um3,Brd4_foci_vol_median_um3,Brd4_foci_vol_cv,Brd4_condensed_fraction,Brd4_partition_coefficient,Brd4_mean_foci_intensity,Brd4_foci_local_dapi,Sc35_n_foci,Sc35_density_per_um3,Sc35_foci_vol_mean_um3,Sc35_foci_vol_median_um3,Sc35_foci_vol_cv,Sc35_condensed_fraction,Sc35_partition_coefficient,Sc35_mean_foci_intensity,Sc35_foci_local_dapi,DAPI_n_foci,DAPI_density_per_um3,DAPI_foci_vol_mean_um3,DAPI_foci_vol_median_um3,DAPI_foci_vol_cv,DAPI_condensed_fraction,DAPI_partition_coefficient,DAPI_mean_foci_intensity,DAPI_foci_local_dapi,Pol2_n_foci,Pol2_density_per_um3,Pol2_foci_vol_mean_um3,Pol2_foci_vol_median_um3,Pol2_foci_vol_cv,Pol2_condensed_fraction,Pol2_partition_coefficient,Pol2_mean_foci_intensity,Pol2_foci_local_dapi,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_enrich,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_enrich,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_enrich
Brd4_n_foci,1.0,-0.013349225774957025,-0.0557912395818455,-0.01139374341907559,-0.10113412897040364,0.05045331830395387,0.1639165984334749,0.1208495368459607,0.10771420030602408,0.6641111460285054,-0.23749847909227476,0.06266271318009203,0.03317671400692906,0.03731262244724744,-0.0853723870156533,-0.015019088991058329,0.004474950229708438,0.08321765312597187,0.4724811140157032,-0.2886338990504884,0.34352280141287145,0.23635468914887706,0.24198687554778914,0.3221391701264404,0.3060246868172357,0.24799735742133974,0.3073429204519089,0.29542465013971725,0.048940316386674836,-0.012294465539251667,-0.037508303628596286,0.19178181904921865,-0.002937227834560598,0.18505650402584875,0.17875396053679377,0.17912733854227877,0.02004749866307249,0.12843485498811283,0.03621130802475741,0.013315458252047274,0.02641560516197523,0.031031946034927958,-0.1615417367093372,0.030521252020879405,0.044307184996367766
Brd4_density_per_um3,-0.013349225774957025,1.0,-0.8213862971613533,-0.8244394556664819,0.5327641948299943,0.2396741206123103,-0.19804030901489394,0.31266319694532685,0.12247704645847425,-0.23984288751698954,0.16517403253443483,-0.10040002133918595,-0.0921469663999851,0.029099286476109813,-0.18666213033498152,-0.34865121436021684,-0.3335085329572406,0.1004441538300139,-0.25415857609367054,0.02967587367462418,-0.06672565687893049,-0.04487576266259393,-0.06503819643848485,-0.02194509675272409,0.021648390819938024,0.07413765782152976,0.028516588155822836,-0.1905977645785534,-0.07713478965222818,-0.02464859672104156,0.005264945917368258,-0.13364685348844357,-0.05452873041457777,-0.11357972223902497,-0.037621354390301454,-0.056329218085909294,-0.13447473000824522,0.04133478203354566,-0.12390657243741501,-0.0040152922205544134,0.011351732058865464,-0.016099928016387526,-0.06203055357467213,0.10126327138061701,-0.253315530011611
Brd4_foci_vol_mean_um3,-0.0557912395818455,-0.8213862971613533,1.0,0.9454495827455264,-0.47919125688260833,0.26801909181386147,0.49419409583167784,0.11449014088868972,0.056951685565946326,0.2104050910388063,-0.04756325273943028,0.11078857628257134,0.10756893282428814,-0.032533068504269645,0.35028070103100084,0.5057597162818862,0.5124314436800692,0.07379779376791851,0.2217771456985694,0.049284551950309834,0.054018741047091,0.04153611393008078,0.04914649248318071,0.11249788581128206,0.12395328386949932,0.08033187270434301,0.11370336779065646,0.19182154113191174,0.12658837445965232,0.05227753863251156,0.016115170676090772,0.14281480413807685,0.12989831944232907,0.2045339062314199,0.19693201261208038,0.11210709679943849,0.14894219219725433,-0.06113951418591113,0.09252515933172134,-0.009183991281536989,-0.02289285246537026,-0.008140677396097648,0.10448053884502827,-0.1428741416375334,0.20415825213208627
Brd4_foci_vol_median_um3,-0.01139374341907559,-0.8244394556664819,0.9454495827455264,1.0,-0.6682811107471257,0.200901455703173,0.4568606446172503,0.06612800513059759,0.03623821330258736,0.2667182689369585,-0.026200106278817515,0.09912564956849355,0.1021916056038627,-0.042196508074139695,0.35858200326351775,0.49846989775210065,0.5049322675402524,0.04810655319095331,0.24573540723757178,0.04344203695936196,0.06568627078957161,0.05356491060152556,0.04667732464771648,0.1232549729042643,0.1254694193788803,0.07530750182654353,0.12018643343376009,0.2078279341710915,0.12764326140129983,0.062339826333616614,0.026965115102825378,0.1556830317944603,0.1278464303656147,0.208178438801253,0.18828715248965777,0.11512421270532243,0.15791142854870305,-0.06179152971213131,0.11022212221089751,0.002874995748749428,-0.04143721192876576,0.0019421201504446878,0.1280918343874263,-0.18412667481766418,0.2264412633687972
Brd4_foci_vol_cv,-0.10113412897040364,0.5327641948299943,-0.47919125688260833,-0.6682811107471257,1.0,-0.046149410535832845,-0.29401056740795367,-0.01690268519261586,-0.025570400856361683,-0.3381959218240135,-0.07622174078732963,0.04711509570939006,0.006663692877237605,0.07559154257421855,-0.22227334694797252,-0.3092018214240518,-0.3056049325419483,-0.02010475811847606,-0.22889983921669588,-0.0345754979110814,-0.06894821118663912,-0.05640054287076842,-0.03809211972723937,-0.13940090434618432,-0.12219268815980786,-0.07347341177781135,-0.12639156054329276,-0.21040974116774178,-0.12220082506177506,-0.06111517850826602,-0.029903069846005707,-0.15381187946857666,-0.1150088584372063,-0.18204534067287542,-0.14452534995612912,-0.1056893772608566,-0.1682091520655388,0.07295183248143546,-0.1310044305053228,-0.051165432055567076,0.08994175151758471,-0.041798394962306695,-0.20196245614501523,0.24555726273610728,-0.238546964368168
Brd4_condensed_fraction,0.05045331830395387,0.2396741206123103,0.26801909181386147,0.200901455703173,-0.046149410535832845,1.0,0.8283699490567348,0.9288454464810866,0.5152935009923179,0.07439487252150595,0.1547500430902755,-0.002662990552271663,0.0057957339338980925,-0.008654594117039616,0.235168004282148,0.25250571013893064,0.27263155395231653,0.49050097998915393,0.12401175826850445,0.1942855820069453,-0.015467794343053537,-0.007989082031501353,-0.005914215798153471,0.31235476209215024,0.5033197643137078,0.503362697820358,0.4828837399603152,0.11832097256934404,0.1583198168864407,0.03667643330531112,0.012030475815940479,0.08524560459344856,0.19234049069124834,0.26158209345555516,0.39340997182839743,0.18892811305441368,0.11006209285607695,-0.06735724609345686,-0.011949653118325305,0.0021195210769846973,-0.057480024847869154,-0.013647753358013324,0.1076499886156983,-0.12721328126719714,0.019896226599812234
Brd4_partition_coefficient,0.1639165984334749,-0.19804030901489394,0.49419409583167784,0.4568606446172503,-0.29401056740795367,0.8283699490567348,1.0,0.800986418491967,0.5426507095148421,0.23000964849343267,0.027009373836662222,0.028460453009838956,0.028633578106943915,-0.014916827115221519,0.2383680624001528,0.33229381820466664,0.33845392750799264,0.5045626454919006,0.3211238623868607,0.1893253298128084,0.022714861582110325,0.014057828357162554,0.033669302363014374,0.39359305963957436,0.602538760759844,0.5733015922309304,0.5736260071026713,0.263386808273111,0.22336611577203883,0.026593078407921723,-0.014115122763816736,0.16224629776814362,0.23213391432933053,0.3292023729350358,0.4236191621291197,0.23883906757764,0.21199429807732112,-0.10245291994092756,0.060825064530058204,0.017596543554586733,-0.07802395614387546,0.012083417400645724,0.12927326056227087,-0.1645330028772014,0.1780373145857126
Brd4_mean_foci_intensity,0.1208495368459607,0.31266319694532685,0.11449014088868972,0.06612800513059759,-0.01690268519261586,0.9288454464810866,0.800986418491967,1.0,0.5507988933075362,0.06885426263642937,0.09967519491637415,-0.010173722862324496,-0.0011632346371181696,-0.008599581288340562,0.09574310157422158,0.06560059880485004,0.07623748483497579,0.5502901466874394,0.09543433122854887,0.12354381541233228,-0.022053761676816323,-0.012296142251534558,-0.016522804217248933,0.2792069502872021,0.5193673158938529,0.5298522422054356,0.5044911614800827,0.0713547231784977,0.09349021901539391,0.019706525847664302,0.004314457785049878,0.04899523674341127,0.14237558890099217,0.2490718299039148,0.3927104038699825,0.1796168421640321,0.056501934253619816,-0.04497596069484321,-0.012458675130020545,0.014077440777432147,-0.07467645413114314,0.0034481580000487737,0.06776047872982101,-0.10657105825616374,0.019978329590439513
Brd4_foci_local_dapi,0.10771420030602408,0.12247704645847425,0.056951685565946326,0.03623821330258736,-0.025570400856361683,0.5152935009923179,0.5426507095148421,0.5507988933075362,1.0,0.04174625008089229,-0.04093183778480046,-0.09006029200085539,-0.07410355992725139,-0.018556492303422923,-0.028539672525590837,0.10789106436326407,0.09099491609586961,0.8457318577561179,0.25173364058101505,0.2674737502483364,0.11397464590510946,0.07712753246124285,0.09800135782629807,0.6997490503380014,0.9103864396884074,0.9531161385567521,0.9005130900180558,0.2086886772601813,0.2053003600096656,-0.036778497489556236,-0.05286925056711121,0.08709666536718572,0.16522071499053584,0.2195876120050168,0.32133684828503395,0.3214988580734266,0.1688226965207648,-0.08236639375529406,0.007920027264399426,0.02889369137823365,0.009092454831523,0.029757189521983893,-0.020884869374940225,0.05343522332649246,-0.015226345018925731
Sc35_n_foci,0.6641111460285054,-0.23984288751698954,0.2104050910388063,0.2667182689369585,-0.3381959218240135,0.07439487252150595,0.23000964849343267,0.06885426263642937,0.04174625008089229,1.0,0.44373954345120104,-0.06816591385434649,-0.03773861780828393,-0.04585180673375965,0.37682734069474066,0.18808137192810948,0.17128270329448572,0.11844861682738972,0.3791239783513098,-0.1741752777130211,0.2609165227346114,0.18624196404260712,0.177882393803517,0.27317739760562126,0.209719714534078,0.14848707445350526,0.22925180701111564,0.4071795325636442,0.21487962872149113,0.05645218581814535,-0.0041921192976751434,0.2758761817500525,0.16663484143051366,0.22309440350981097,0.20651426744896292,0.1846988888582225,0.19262207129222703,-0.015720674149824115,0.08294930653337171,0.07442545404166073,-0.2016164196018281,0.031097548029920923,0.3906784206984839,-0.4603708473389631,0.19467154530637792
