,Brd4_n_foci,Brd4_density_per_um3,Brd4_foci_vol_mean_um3,Brd4_foci_vol_median_um3,Brd4_foci_vol_cv,Brd4_condensed_fraction,Brd4_partition_coefficient,Brd4_mean_foci_intensity,Brd4_foci_local_dapi,Sc35_n_foci,Sc35_density_per_um3,Sc35_foci_vol_mean_um3,Sc35_foci_vol_median_um3,Sc35_foci_vol_cv,Sc35_condensed_fraction,Sc35_partition_coefficient,Sc35_mean_foci_intensity,Sc35_foci_local_dapi,DAPI_n_foci,DAPI_density_per_um3,DAPI_foci_vol_mean_um3,DAPI_foci_vol_median_um3,DAPI_foci_vol_cv,DAPI_condensed_fraction,DAPI_partition_coefficient,DAPI_mean_foci_intensity,DAPI_foci_local_dapi,Pol2_n_foci,Pol2_density_per_um3,Pol2_foci_vol_mean_um3,Pol2_foci_vol_median_um3,Pol2_foci_vol_cv,Pol2_condensed_fraction,Pol2_partition_coefficient,Pol2_mean_foci_intensity,Pol2_foci_local_dapi,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_enrich,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_enrich,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_enrich
Brd4_n_foci,1.0,-0.05504136089190541,-0.03914052050850169,0.03576537638314913,-0.18502972268759224,0.001571490648134174,0.1378003260978831,0.08125406116064948,0.081642980648439,0.6440976006733575,-0.22540147424227158,0.0979071356950761,0.07342347867819435,0.03302311444355049,-0.01919687729380549,0.01777482482338104,0.03659978366872787,0.09642177927591473,0.29741913263307646,-0.44058833372894485,0.4142759814278899,0.30406893370154603,0.24440217347424958,0.276619673398171,0.27643802212613294,0.2132307544483006,0.2935636794129191,0.30125968045351686,0.04942852132387612,-0.04010947161473441,-0.059864048982981984,0.17040193898573402,-0.01943698999777903,0.1582461462801235,0.14335243668153155,0.16368094390100718,0.02143859153904639,0.09962326219384807,0.03786254044095146,0.033129961893483884,-0.00023798702458271764,0.05431921363805774,-0.12542735514407213,0.008562086178983786,0.08680404524908736
Brd4_density_per_um3,-0.05504136089190541,1.0,-0.7821084373575137,-0.7964578227291389,0.5842124798281216,0.12939940682648776,-0.3322411357505965,0.1984043241487587,0.026602009132087892,-0.298794847770237,0.07314834948439276,-0.040398325817493495,-0.03542862729585337,0.0052392536305970955,-0.1590669663219581,-0.31998874078353673,-0.32618468768038233,-0.03517638188251214,-0.25229488798379535,0.04597669912446207,-0.11067782451832542,-0.08886538289741579,-0.10410055576752013,-0.0938818717077993,-0.03864949499223365,0.01380131784891047,-0.03195535762219463,-0.23931625102109055,-0.14002077463969642,-0.005000690215633256,0.04097004462280859,-0.13946418187068135,-0.080408795464741,-0.13999387846932296,-0.08617444245670523,-0.12378281075534187,-0.17977297858429772,0.02684755830568757,-0.15289741899942774,-0.02130829423525587,0.042056763989173164,-0.0281159096883825,-0.1303282836621963,0.14792420773765613,-0.2686598886015751
Brd4_foci_vol_mean_um3,-0.03914052050850169,-0.7821084373575137,1.0,0.9346995574394596,-0.48859494035247103,0.4401110301178116,0.616558976435179,0.30285196396245373,0.15608357262230166,0.23167688607590342,0.024122057653245817,0.089356558589652,0.08193050266108941,-0.017344295242837485,0.33639151947512563,0.4869816233911723,0.515917449585859,0.20526898639006175,0.22455890474953594,0.05850408185651612,0.06954559653782237,0.05529382543749631,0.07436868071364333,0.16319424780443054,0.18430079848439243,0.1435323845040147,0.16615254292621698,0.2191000741474113,0.17857798186817098,0.03132660085862003,-0.017554976739165316,0.14911990099529493,0.14919607493854006,0.23622107103183346,0.2496694111689847,0.17724764200904017,0.19010365713790747,-0.04657965082506613,0.13338597480895345,0.025610982044133333,-0.04660827311686474,0.02644197334399238,0.15654736131194072,-0.1736652799465421,0.2115944726142706
Brd4_foci_vol_median_um3,0.03576537638314913,-0.7964578227291389,0.9346995574394596,1.0,-0.7026970279240476,0.350887141846565,0.5805209472264515,0.23634440331618475,0.11785134054442499,0.3097940895125332,0.04403466149894659,0.09449729001925555,0.08855373487885583,-0.02892571469341961,0.3504147632001246,0.46120772109563596,0.49597600040172496,0.16936898644767176,0.25020906244189944,0.020534025416719844,0.08956035472954714,0.07528826510591677,0.07190193991151453,0.1685066315058473,0.18548399157578271,0.13439135091915547,0.1756166426738674,0.23682076800308402,0.1710711163567305,0.04443468223535467,-0.0060384857633410255,0.16644243906927414,0.1449086518428743,0.23034772296775163,0.23099158651009946,0.1718214295179702,0.18819839543069022,-0.04768735425157393,0.14173946527771372,0.0394874536622095,-0.07948822487319646,0.041416907959732345,0.18665074141938348,-0.21908206793271334,0.2512020560676027
Brd4_foci_vol_cv,-0.18502972268759224,0.5842124798281216,-0.48859494035247103,-0.7026970279240476,1.0,-0.061000739749273725,-0.3548342425361951,-0.041102466868867184,-0.02700304937279484,-0.39720871593471263,-0.0900368036093399,-0.038531530600652904,-0.04881229309633934,0.05694464471391269,-0.25302340085854236,-0.25709089207367314,-0.28666776782165004,-0.05199568252751911,-0.2556504798544135,0.03170201312203474,-0.09346818262721035,-0.08050455629150306,-0.04907808853406468,-0.15391677073294383,-0.14921333389007607,-0.09156619849361149,-0.15893066736940775,-0.22535058388856652,-0.123469015292896,-0.036605797859224715,-0.004703202834254122,-0.14392818099939356,-0.10206676815343077,-0.1600924464178453,-0.13470919857118158,-0.11940229173956776,-0.1503752695680156,0.048044464226336125,-0.11900185842580731,-0.0631499360005849,0.1386980427659635,-0.06602203681627525,-0.2229765480272186,0.26165595792287905,-0.2771143646634033
Brd4_condensed_fraction,0.001571490648134174,0.12939940682648776,0.4401110301178116,0.350887141846565,-0.061000739749273725,1.0,0.7986653902283103,0.9365123288620463,0.4533688522509621,0.06757556874762524,0.1441156978157994,0.06411943363790522,0.062246143515636065,0.0008960675920562035,0.30110628655638183,0.3429624695559941,0.3684206241926132,0.4491902048633353,0.14485785658267558,0.19604641446195886,-0.03586724856856319,-0.028893982950418486,-0.013936239018558038,0.27495210671287873,0.4527287138899764,0.4434169357766832,0.4227301134453427,0.138878132462842,0.17944942366293395,0.05525722815549752,0.030028356213837485,0.10548937731220033,0.21374212427673653,0.28193944837984114,0.3897589160117149,0.19537214143641643,0.14772875865452084,-0.06867962340330691,0.034711992591996615,0.034307493896760445,-0.05965114410914362,0.029184320703600927,0.12860243772451804,-0.10824380152990526,0.05315142971457133
Brd4_partition_coefficient,0.1378003260978831,-0.3322411357505965,0.616558976435179,0.5805209472264515,-0.3548342425361951,0.7986653902283103,1.0,0.7809249394453668,0.48994317409973587,0.27242480428074667,0.07786138748445169,0.04946026966473789,0.046694129620525854,0.0065786026049983876,0.2997642746468137,0.4185725498414621,0.44189971108606024,0.48416509886121,0.33066101992565644,0.156565054750877,0.03780450078041615,0.02683818188435404,0.045160299367599854,0.38918802419509113,0.5495613500312291,0.5092669720221596,0.5175865391254756,0.3343140733814043,0.2931072076854901,0.05107724634107827,-0.0021100711282875245,0.19367239511391496,0.2873782502486858,0.3512372552921141,0.421977385579403,0.2640531787178435,0.2857040443452112,-0.11152928871921644,0.110277989241182,0.0490213651097877,-0.09550679491478671,0.05039739886683506,0.2009158975103157,-0.16445982029089756,0.2219291676120122
Brd4_mean_foci_intensity,0.08125406116064948,0.1984043241487587,0.30285196396245373,0.23634440331618475,-0.041102466868867184,0.9365123288620463,0.7809249394453668,1.0,0.47645748385280007,0.08296514983545686,0.10805361308600057,0.046617142134703964,0.04263422152447563,0.0009055184007402562,0.218701029750502,0.24050125960037802,0.2596603489385574,0.4943507926543464,0.11514205065339106,0.1199791096497535,-0.026562802769049487,-0.025589131993975646,-0.018517922902595185,0.25735402160010606,0.47804494841079326,0.4708330634159601,0.4517937071242411,0.09161841867876434,0.10739445131974691,0.02997474095713592,0.017624343363215778,0.0645244629513135,0.16136482056374665,0.2640835831911373,0.38024969933800656,0.16712331593666174,0.08415149116154327,-0.048928051900185336,0.009269931549087602,0.031003524883330233,-0.07881082874842357,0.029191389051786684,0.10888862559462172,-0.08923724010372665,0.06539858609419757
Brd4_foci_local_dapi,0.081642980648439,0.026602009132087892,0.15608357262230166,0.11785134054442499,-0.02700304937279484,0.4533688522509621,0.48994317409973587,0.47645748385280007,1.0,0.016889880447043662,-0.08567046448408493,-0.06381142495679756,-0.045025888616485155,-0.04815249970837226,-0.028426230094350264,0.14697260171188722,0.13077334377280372,0.7547543543508038,0.23306866198661086,0.20180641409674152,0.13975382830199998,0.08692456135133857,0.09061304461123619,0.7350905175937692,0.9156793729937549,0.9566187773079686,0.8988213738782732,0.19511696982136853,0.18486456768589124,-0.037357993945267814,-0.051902167296845346,0.06795994465720391,0.15326491487564556,0.18642305144122093,0.2656637123084341,0.27781178628833797,0.17365193671768,-0.07179744491754049,0.022631241867361488,0.007542341362799227,0.0296227203380319,0.016350590825230025,-0.02837431852552735,0.06733801757292682,0.002259378356984904
Sc35_n_foci,0.6440976006733575,-0.298794847770237,0.23167688607590342,0.3097940895125332,-0.39720871593471263,0.06757556874762524,0.27242480428074667,0.08296514983545686,0.016889880447043662,1.0,0.49613958649313106,-0.0026300882271784124,-0.0004191323528309356,-0.0007767640076931722,0.41232352749975104,0.13810861973021635,0.15470233546567705,0.14664981924692314,0.2909009161273241,-0.24656517975973252,0.2787190896230995,0.21592903964016222,0.15432042608919655,0.22695488733660094,0.18063219057330793,0.11406403514198894,0.215078052063343,0.4155172186949145,0.23363259589768587,0.0759096808432241,0.012174640979944902,0.28182092338971476,0.18837899889984752,0.2459764605291881,0.2236318155981633,0.21660202333664114,0.21933693232010637,0.015978117572430162,0.12014556510249474,0.13416115907122658,-0.2163725956658753,0.10302144693300135,0.44789767431749045,-0.4824614516386338,0.23993144577868256
