,Brd4_n_foci,Brd4_density_per_um3,Brd4_foci_vol_mean_um3,Brd4_foci_vol_median_um3,Brd4_foci_vol_cv,Brd4_condensed_fraction,Brd4_partition_coefficient,Brd4_mean_foci_intensity,Brd4_foci_local_dapi,Sc35_n_foci,Sc35_density_per_um3,Sc35_foci_vol_mean_um3,Sc35_foci_vol_median_um3,Sc35_foci_vol_cv,Sc35_condensed_fraction,Sc35_partition_coefficient,Sc35_mean_foci_intensity,Sc35_foci_local_dapi,DAPI_n_foci,DAPI_density_per_um3,DAPI_foci_vol_mean_um3,DAPI_foci_vol_median_um3,DAPI_foci_vol_cv,DAPI_condensed_fraction,DAPI_partition_coefficient,DAPI_mean_foci_intensity,DAPI_foci_local_dapi,Pol2_n_foci,Pol2_density_per_um3,Pol2_foci_vol_mean_um3,Pol2_foci_vol_median_um3,Pol2_foci_vol_cv,Pol2_condensed_fraction,Pol2_partition_coefficient,Pol2_mean_foci_intensity,Pol2_foci_local_dapi,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_enrich,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_enrich,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_enrich
Brd4_n_foci,1.0,-0.07027480752394284,0.026913543833354536,0.08550022988774411,-0.21529894782567288,0.12885401262666546,0.2610056108802905,0.2035437059572575,0.14978954772213637,0.6658434774935191,-0.19305772422469905,0.015802618595023347,0.023780790719622087,-0.03018381348614658,-0.043931031454401304,0.03444373623951016,0.07515088039023339,0.15095337441506573,0.44444574312972296,-0.33832484205412483,0.3228679358058381,0.2167706565087973,0.2197667676923628,0.31147848758936725,0.34593932202514155,0.2832016623299012,0.3530887673842259,0.3884013757994338,0.10982625332503108,0.005733937707612113,-0.035051673363476504,0.26171706340138023,0.06097312322631993,0.210891459984725,0.20949249981514795,0.17743584051484226,0.08798472633666253,-0.017460830921292348,0.030167124354418935,1.161974791488277e-05,-0.05583913939987723,0.03141592152021601,-0.0893081752227621,-0.06032016015283624,0.11691044738080184
Brd4_density_per_um3,-0.07027480752394284,1.0,-0.8265288177355098,-0.8252675185885916,0.5615354593409266,0.1375450522759494,-0.285423065392139,0.1927588857620016,0.057329810840431594,-0.2776490475670199,0.1298186958162723,-0.04678005227763637,-0.05429245703669008,0.01887694667093434,-0.1899579681563164,-0.36388923771806136,-0.37486273846486856,0.038579009628728476,-0.28321346913410883,0.035608266576920254,-0.051103831503332295,-0.02160725266353746,-0.06674729519545826,-0.05097183145186209,-0.02471886390909353,0.026974452271960145,-0.01253898183346782,-0.2364064106887992,-0.11189850527386166,0.0027536259915858963,0.029960957628996872,-0.1281558104655391,-0.05522066470199114,-0.12468763188339224,-0.06528131264101773,-0.05911768041483341,-0.14830236943648975,0.10850537655301663,-0.11241050791350762,-0.009903951059294076,0.07778601274712273,-0.042427155813886154,-0.08290916554624314,0.14669582437713186,-0.2577971786112074
Brd4_foci_vol_mean_um3,0.026913543833354536,-0.8265288177355098,1.0,0.9404900478730832,-0.5211254143334068,0.34145130447274824,0.534373578723715,0.22509606825927989,0.11010292421024533,0.2570510751849254,-0.043072806299279544,0.07735753650688548,0.08417645181620909,-0.03709745189861537,0.343994454065298,0.49197332725666587,0.5333878568140598,0.13066454366400487,0.24814421477103552,0.008017461866566508,0.042637203284000086,0.027193172655420324,0.0493670149488443,0.11194224508994886,0.15417800110167895,0.11466204786353563,0.14005444523774443,0.21615652433034654,0.1306415713640803,0.023998502150584917,-0.012190309771943962,0.14208357701106297,0.11284177468949075,0.21721334995223762,0.2266722610061456,0.1137922748015164,0.12805245467554782,-0.11660632661276821,0.06688043597035018,0.02837173150484153,-0.08847763328433701,0.050469611622712546,0.10813553972106164,-0.18283034529703387,0.22237769619488976
Brd4_foci_vol_median_um3,0.08550022988774411,-0.8252675185885916,0.9404900478730832,1.0,-0.7180763117203656,0.2786357613005865,0.5058179087419103,0.1811248092825593,0.09794374081880701,0.3307787942363119,-0.006029261140104172,0.05428978250625998,0.07287690593025586,-0.056734852483642635,0.3497549586635453,0.46754292429238314,0.5191788777040557,0.12222063077468136,0.27738548083166964,-0.0032729955337260307,0.047664772129477055,0.024819669946764284,0.057365774622207974,0.12630313328337336,0.16969818243314908,0.12221269109074691,0.16121923181150324,0.24657003952401085,0.14527555218380778,0.035033255185705874,-0.006762274286948909,0.1733531123087141,0.12146353884017567,0.22962258230685012,0.22475036273182875,0.11958746019494554,0.15048580962656374,-0.13291355411005482,0.08400366107095783,0.04027222245899667,-0.13044070172261488,0.06025095374059987,0.1529395791710277,-0.2420889489283231,0.26604350099709395
Brd4_foci_vol_cv,-0.21529894782567288,0.5615354593409266,-0.5211254143334068,-0.7180763117203656,1.0,-0.13442280241792728,-0.36719118522336075,-0.12544896512765863,-0.0909788474539013,-0.4298529440661928,-0.0932908207737166,0.044566353067384726,-0.0008978720040532139,0.09197357451275034,-0.23037219019353197,-0.27331686651906856,-0.3176046587615157,-0.1055504328986275,-0.2646288161757762,0.035217726695297345,-0.0715182756932134,-0.03598865215991086,-0.07060440368926432,-0.16329370250695277,-0.18950866230514568,-0.13882938446051213,-0.19585156044901142,-0.2688834098224044,-0.15936076796290582,-0.026657658671755107,0.011377506820100428,-0.19524102626753503,-0.11585685191725291,-0.21002471868958617,-0.1877455765719823,-0.11137155382668862,-0.1821370972098042,0.15338628004043542,-0.11007301223108013,-0.056766450148928366,0.1921760750894737,-0.06605149074615983,-0.2347539638409866,0.32063026591767363,-0.29772965564824094
Brd4_condensed_fraction,0.12885401262666546,0.1375450522759494,0.34145130447274824,0.2786357613005865,-0.13442280241792728,1.0,0.8277938167673761,0.9444036510385485,0.5167945221348432,0.1521804927351005,0.1217013446703995,-0.01006661243257385,0.009858813757729491,-0.06108548454196,0.23583892149906613,0.25817241126907026,0.2994253686939732,0.49286349184004663,0.1798346018408974,0.14250334532605746,-0.012383745766236897,-0.005606307677069711,0.008563578633442459,0.31243026733546003,0.5020199636675768,0.5011447851777995,0.4824214200217741,0.15524875320085502,0.16625289215404493,0.06522180013039793,0.021689381132058948,0.14590347877449833,0.22765568230590788,0.32928721596778787,0.4572496813020965,0.23106526377201864,0.11143540076318503,-0.09929157797022585,-0.01814553015230561,0.0481656543768298,-0.07953898039028531,0.036309413230663445,0.11726434658325831,-0.16369601233950798,0.07149400901558194
Brd4_partition_coefficient,0.2610056108802905,-0.285423065392139,0.534373578723715,0.5058179087419103,-0.36719118522336075,0.8277938167673761,1.0,0.8182442631504933,0.5474976233909,0.32174448985245313,0.027261897035372698,-0.022047995763850137,0.0036491323411421825,-0.06867607403030448,0.23078021285293548,0.34624328153289774,0.38132893648939065,0.5128782377026713,0.38971225985986624,0.14325683374639814,0.017303646149708602,0.004291417859666702,0.05198388531204645,0.4136291879255437,0.5975191391263361,0.5667039952440477,0.5688627303970885,0.33085902707125636,0.26088818725987023,0.05925693169709238,0.0014111999109498198,0.2252395985420706,0.28666828187839294,0.40198614017717715,0.490413695485051,0.28086793915757957,0.23420646230172795,-0.16695092530171168,0.05380384322593607,0.04724054695512353,-0.11914461625466975,0.05127024735408404,0.1567058750179594,-0.2088952405198979,0.22122877590219883
Brd4_mean_foci_intensity,0.2035437059572575,0.1927588857620016,0.22509606825927989,0.1811248092825593,-0.12544896512765863,0.9444036510385485,0.8182442631504933,1.0,0.540380500863,0.1778959849961241,0.09914252660846443,-0.04294946299242252,-0.016660250411280594,-0.07137518699805327,0.1304252418381526,0.13382195884970619,0.16745821506587566,0.5511831567116617,0.16056384494124157,0.0761456059899064,-0.0008065709881897579,0.004202853476820957,0.006358092906612989,0.303676357615946,0.5237683866495377,0.5250874179967336,0.5114028197045316,0.14763477884576534,0.1365491692871182,0.05317169820468379,0.018379090251972957,0.13641271872769473,0.2049408603125704,0.3423744483130292,0.47839994307868106,0.2418404240692868,0.08948142308916157,-0.07718908965422303,-0.011913578144873904,0.049797975610423234,-0.08690809509256583,0.03865966922476036,0.10625531084854203,-0.1549509248843507,0.0825591354242048
Brd4_foci_local_dapi,0.14978954772213637,0.057329810840431594,0.11010292421024533,0.09794374081880701,-0.0909788474539013,0.5167945221348432,0.5474976233909,0.540380500863,1.0,0.08227824605458477,-0.06524717847653022,-0.1030769384442665,-0.05859634419607507,-0.04556632354166166,-0.0384445611234004,0.1639181988904943,0.15524489524985347,0.8556225472444033,0.2858298291913346,0.23397278516706216,0.11280724668081052,0.07004334787415102,0.0922434846794782,0.7358100652883613,0.9225189676683471,0.9571677310336488,0.9120868335400466,0.24558653688493368,0.2311868385496631,-0.0314903755217972,-0.055854052115087795,0.10587098652499514,0.2019082969442709,0.2427674055886261,0.34392852540247226,0.368542577497877,0.19718988510718613,-0.14225964110162265,0.012073703200293547,0.01147130177595289,0.019852945246346655,0.01280168153252567,-1.91571213976264e-05,0.04220055213993342,0.03689375158173662
Sc35_n_foci,0.6658434774935191,-0.2776490475670199,0.2570510751849254,0.3307787942363119,-0.4298529440661928,0.1521804927351005,0.32174448985245313,0.1778959849961241,0.08227824605458477,1.0,0.49393011906890744,-0.14735976839265003,-0.09573872295774363,-0.07743966000491741,0.35239553756386927,0.13001724542474666,0.18021611031060858,0.19869192691103127,0.3618734906149736,-0.21340252128259302,0.22095687916698406,0.14611962278405938,0.1651758896405961,0.25839861421479077,0.2414196087992017,0.17574052034762178,0.26459446683358734,0.48880415542140887,0.29064765294737877,0.08971568385935418,0.023092489889948865,0.33323028487039424,0.23325782641178058,0.25817966616051363,0.2477784756809528,0.19111385748515328,0.2676133073039136,-0.1494844485006222,0.09253760285372886,0.118467488937194,-0.31906060991813173,0.08429489135712133,0.4700167739190852,-0.5365475577486162,0.289832401981669
