,Brd4_n_foci,Brd4_density_per_um3,Brd4_foci_vol_mean_um3,Brd4_foci_vol_median_um3,Brd4_foci_vol_cv,Brd4_condensed_fraction,Brd4_partition_coefficient,Brd4_mean_foci_intensity,Brd4_foci_local_dapi,Sc35_n_foci,Sc35_density_per_um3,Sc35_foci_vol_mean_um3,Sc35_foci_vol_median_um3,Sc35_foci_vol_cv,Sc35_condensed_fraction,Sc35_partition_coefficient,Sc35_mean_foci_intensity,Sc35_foci_local_dapi,DAPI_n_foci,DAPI_density_per_um3,DAPI_foci_vol_mean_um3,DAPI_foci_vol_median_um3,DAPI_foci_vol_cv,DAPI_condensed_fraction,DAPI_partition_coefficient,DAPI_mean_foci_intensity,DAPI_foci_local_dapi,Pol2_n_foci,Pol2_density_per_um3,Pol2_foci_vol_mean_um3,Pol2_foci_vol_median_um3,Pol2_foci_vol_cv,Pol2_condensed_fraction,Pol2_partition_coefficient,Pol2_mean_foci_intensity,Pol2_foci_local_dapi,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_enrich,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_enrich,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_enrich
Brd4_n_foci,1.0,-0.07325787031699356,-0.03940578353684064,0.04986646027285944,-0.22101002725847296,-0.02245206730994889,0.12884491752706412,0.08392411473466568,0.11735940546979225,0.46878756555806594,-0.2379732489920827,0.021257470271068023,-0.031954155126942684,0.019897906683432817,-0.06341176765009858,0.1527333868104559,0.12945360220444987,0.12046777810022169,0.433571802710436,-0.3052275581741382,0.270223200722549,0.19642400771298016,0.17666738315721578,0.24033206564892587,0.3298953157583227,0.26670947224911956,0.33155404369744707,0.13918943909676354,-0.11262504839870183,0.03758242639040877,0.011043053780198481,0.13889635161003236,-0.06491763892292451,0.13165046749222395,0.10958297343663995,0.13261347423040276,-0.08662389830922301,0.21085284248408429,0.016271826652316166,-0.025226258000311252,0.11054340909049594,-0.019328038404319656,-0.1428616430187538,0.026569520698579163,0.034024439045401894
Brd4_density_per_um3,-0.07325787031699356,1.0,-0.710104467799565,-0.7560563762030159,0.6135445903149886,0.20712671645707356,-0.39917803513868927,0.24105642093524707,0.03712358418825229,-0.2728723097211384,0.06767081092569757,-0.008475740208383186,0.04991331037165397,-0.11695783430345458,-0.13452930601797197,-0.29880153913215624,-0.2585186774880789,-0.020253250250278423,-0.3037065508513169,-0.016900785500101476,-0.1029133487003686,-0.09893510493230505,-0.056921076680357174,-0.13231398497519087,-0.05283854854014909,0.0032032330490013297,-0.048197234514373015,-0.19381535876175443,-0.08611257190565719,-0.028846000943984984,-0.019502746915969173,-0.12801184733626172,-0.008635889364591686,-0.10869825498106055,-0.07627701915617305,-0.12435227691602592,-0.11768305150822875,-0.06663204448207548,-0.12492137615005466,0.029986761774552402,-0.06137727119800215,0.012439868588274134,-0.13418928383350273,0.16428537674586752,-0.24317821631409647
Brd4_foci_vol_mean_um3,-0.03940578353684064,-0.710104467799565,1.0,0.923389466648505,-0.46099297748074525,0.4598888881458481,0.6538498550256656,0.33614279486563026,0.12686400126297612,0.16783015696134515,-0.01156583701660391,0.04363776913323988,-0.03155261342539208,0.10315004506086074,0.38508965385986393,0.5237056928577856,0.49993219722210824,0.17867034442378057,0.2095523433632504,0.0899090649785713,0.04710173454704147,0.05455081499191729,0.026815403240142553,0.158044323989191,0.1649537760035106,0.12491328950038709,0.15776767001732087,0.24714257097308348,0.19586777812911105,0.026594354655498646,0.001003633254796768,0.20358750005250234,0.0793788155305803,0.20106382647311036,0.1845626275839487,0.19414177321700973,0.19006794750681913,-0.010098759545472952,0.15576579161840517,-0.020251122838824846,0.05489237921508379,-0.015080427332251662,0.12279545745852388,-0.18065524452948592,0.17946034562365926
Brd4_foci_vol_median_um3,0.04986646027285944,-0.7560563762030159,0.923389466648505,1.0,-0.7040547009928151,0.32403828731891887,0.6031695509726168,0.23056183787115206,0.07407403660790662,0.2504456612738728,0.0015283690142452644,0.043529222130469676,-0.02895251142064354,0.09675322833193548,0.39703771092249046,0.5153973110793386,0.4984561183433203,0.13064508254430657,0.27570870625224886,0.08059650104727864,0.052552097912469384,0.06085572457402606,0.026117214949915955,0.15588403406712684,0.16100730746412584,0.10780858860115755,0.15706193715913977,0.22903682031609474,0.14614257285525198,0.022536035865492077,0.003715262427150825,0.17663550274898904,0.040690911836508935,0.1816693692484489,0.1627915149719508,0.18381790779794432,0.1634603967768758,0.0203314989536052,0.16546501584986975,-0.01309806775939508,0.04434269532540141,-0.006751171088324996,0.14685933580611094,-0.2324076624354117,0.20781598050074582
Brd4_foci_vol_cv,-0.22101002725847296,0.6135445903149886,-0.46099297748074525,-0.7040547009928151,1.0,0.0599349942202316,-0.3088348164263781,0.05098999392712886,0.05315339754332708,-0.3335760030264186,-0.012980697287911434,-0.030060796067077202,0.02113766557542683,-0.07397411157415519,-0.2737525552194761,-0.33177411446178545,-0.32386661214860063,0.02090791075407996,-0.31369926695326555,-0.026494313216583323,-0.0483191738817465,-0.05628428250302701,-0.024965395955396666,-0.10792596049955429,-0.10179119877187409,-0.038724199252264536,-0.1045462792116536,-0.10376186901500742,0.020766381794399935,-0.022239392273857003,-0.021606022747384355,-0.06102901514367923,0.06018219211146293,-0.07842012832640573,-0.05540270680012746,-0.07863336727631995,-0.037832233151040506,-0.07206266255059955,-0.12007648428961627,-0.0017551461428918455,0.004174966316502833,-0.01279114513769665,-0.14335366554875603,0.25152063279524633,-0.2033464432244018
Brd4_condensed_fraction,-0.02245206730994889,0.20712671645707356,0.4598888881458481,0.32403828731891887,0.0599349942202316,1.0,0.6987019229412167,0.9172772390613886,0.4154247027350563,-0.0478421837043193,0.026252830494910662,0.06481125851420612,0.019616190402866256,0.02807109619403859,0.3478341999703599,0.3976890526805878,0.3751294308233097,0.3579969941041014,0.06086398941403894,0.17174921157301706,-0.07340236768015765,-0.04560616955866056,0.00399028345683282,0.2143042620577755,0.3943689926045183,0.39628225841519493,0.3741167286741544,0.20577945574965198,0.23511851080335083,-0.00197478366327642,-0.033671109102447826,0.18269229826824948,0.1304451742983088,0.22139769808739054,0.241364406833287,0.18820448008012206,0.18546416074981345,-0.09199362268846349,0.09053801293822693,0.015073687637656676,0.013406957360675171,0.007820934664079699,-0.003519744814610149,-0.07270079365742926,-0.02540772785628982
Brd4_partition_coefficient,0.12884491752706412,-0.39917803513868927,0.6538498550256656,0.6031695509726168,-0.3088348164263781,0.6987019229412167,1.0,0.6873199718347357,0.49910222869338583,0.15956699921645717,-0.05273007982634711,0.04417394583475787,-0.02639882267720774,0.10063319180871427,0.304808969467663,0.505671140612211,0.4429901705623398,0.3900965231016645,0.3398231789654514,0.20135910940016427,0.02327445507885649,0.025552944805841155,0.07802198419679197,0.4184047281360456,0.5581838044327152,0.521102387923439,0.52529311296457,0.38591685794320835,0.31667068830186723,0.012734444650184158,-0.025318760135244468,0.27048692957750303,0.14796581529035452,0.29670385494399,0.2945401544978685,0.28272318756680165,0.28981116193856593,-0.04388296400094501,0.1643095427834508,-0.0012529405686584466,0.059218720780135424,0.0075372106658834395,0.05564140454764527,-0.1267689592481666,0.12438510451654233
Brd4_mean_foci_intensity,0.08392411473466568,0.24105642093524707,0.33614279486563026,0.23056183787115206,0.05098999392712886,0.9172772390613886,0.6873199718347357,1.0,0.46824961226081296,-0.03354713633676819,-0.022758152618084216,0.10043020794787748,0.04946671655985841,0.0044373822058349326,0.2763887576259446,0.3056681076069599,0.2652321174584987,0.42947386738679166,0.07113649096945412,0.10779916131544315,-0.06633235890296929,-0.05594178037379302,0.00652171148882197,0.21054530827882664,0.4518660748508024,0.4561419567192567,0.4355894162114973,0.20307134265793972,0.20315606463990574,-0.0069931218680996405,-0.03818720622595947,0.17837453559004973,0.11522239446766555,0.23963959323598163,0.26612629238979146,0.20150539422834465,0.15333405577483208,-0.06503134427140549,0.06769092400621596,0.022598622892852013,0.024092223588802676,0.019330147715275393,-0.03317824812437963,-0.06333126441943664,-0.013959085238382117
Brd4_foci_local_dapi,0.11735940546979225,0.03712358418825229,0.12686400126297612,0.07407403660790662,0.05315339754332708,0.4154247027350563,0.49910222869338583,0.46824961226081296,1.0,0.01937542576152062,-0.08616454039427046,-0.0719733081858076,-0.028132958599410698,-0.056543516013169835,-0.048262948499247935,0.21530202477562435,0.14680385478830335,0.6481179029404317,0.17152919738793543,0.13309586343512234,0.19121806078545284,0.1315434556365047,0.1346071793561823,0.7183823976042789,0.9038077835294462,0.9490863811873333,0.8917395238215918,0.14034511636889152,0.1149512740299756,-0.01642400557973849,-0.031517903377110384,0.12360475295770935,0.06984695348171514,0.23117503896878863,0.2562727705658919,0.24743714241229955,0.06039220721583242,0.016544035468811842,-0.00886454611898365,0.008724039416038146,0.10731805208247151,0.012893550585397083,-0.0748702824860942,0.11472889520345479,-0.04655971953669374
Sc35_n_foci,0.46878756555806594,-0.2728723097211384,0.16783015696134515,0.2504456612738728,-0.3335760030264186,-0.0478421837043193,0.15956699921645717,-0.03354713633676819,0.01937542576152062,1.0,0.6626871417640607,-0.5150592280307202,-0.41864663415446485,0.21828043372962969,0.12959024868304123,0.02226551360396562,0.09074631232844818,0.16707778144450638,0.2842875270645715,-0.10608077531728538,0.18803205407984458,0.16575669614012828,0.08892135403461845,0.19862278168479183,0.15277174148988515,0.0964451317569352,0.17512968246927846,0.1639175041612526,0.011177509025720926,0.01567023075366209,-0.009990768589969145,0.12743355205491277,0.00013853072425344684,0.07519685701133924,0.05344617348229799,0.11154452617927525,0.05421996492492531,0.09495410715348931,0.10029363579362971,0.04499936006648045,-0.09360128807547069,0.016611148709509634,0.5214993543306258,-0.5321904455270656,0.15878320797612142
