,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_frac,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_nn_um,coloc_Brd4_Pol2_enrich,coloc_Brd4_Pol2_enrich,coloc_Brd4_Pol2_enrich,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_frac,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_nn_um,coloc_Pol2_Sc35_enrich,coloc_Pol2_Sc35_enrich,coloc_Pol2_Sc35_enrich,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_frac,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_nn_um,coloc_Brd4_Sc35_enrich,coloc_Brd4_Sc35_enrich,coloc_Brd4_Sc35_enrich
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,
auxin,0.0071348343,0.005550416,3401,2.6935337,2.4765809,3401,1.7484007,1.766818,3401,0.06419774,0.0,3401,0.88698405,0.8447992,3401,4.4153953,0.0,3401,0.02547202,0.025540275,3401,1.3744794,1.3134565,3401,1.755803,1.7649329,3401
control,0.0055614286,0.004322144,7884,2.86991,2.7202487,7884,1.7393655,1.7491422,7884,0.05063107,0.0,7884,0.9190762,0.86177367,7884,3.6635387,0.0,7884,0.024100166,0.024163568,7884,1.3990644,1.3406518,7884,1.7232445,1.7261748,7884
drb,0.011519083,0.010204081,3709,2.3823593,2.1875966,3709,2.0114353,2.0447304,3709,0.0062616104,0.0,3709,1.4666017,1.3848935,3709,0.64038324,0.0,3709,0.01503469,0.014519056,3709,1.668324,1.6002985,3709,1.654814,1.6598113,3709
eed226,0.006048313,0.0048154094,3539,2.752335,2.5911412,3539,1.7787995,1.7991153,3539,0.04391931,0.0,3539,0.92286336,0.86524105,3539,2.959596,0.0,3539,0.025108976,0.025157232,3539,1.3920274,1.3314373,3539,1.7272742,1.7394445,3539
jq1,0.0070956177,0.0061728396,4074,2.594911,2.4054055,4074,1.7751659,1.7865989,4074,0.05417872,0.0,4074,0.9644709,0.8853686,4074,3.7423577,0.0,4074,0.0252346,0.02534113,4074,1.3917481,1.3174276,4074,1.7720078,1.7850428,4074
sgc_cbp30,0.0050526713,0.0038363172,3325,2.8280551,2.7052927,3325,1.6470792,1.6894667,3325,0.04832481,0.0,3325,0.9093101,0.8726501,3325,3.4799826,0.0,3325,0.023768071,0.023809524,3325,1.3951156,1.3433346,3325,1.7407656,1.7419727,3325
triptolide,0.00309269,0.0017226541,3620,3.4500554,3.3695998,3620,1.3727777,1.3615495,3620,0.007815652,0.0,3620,1.7912617,1.8094842,3620,1.1826378,0.0,3620,0.009759954,0.0091813365,3620,1.87509,1.8181999,3620,1.602742,1.5962989,3620
tsa,0.004557059,0.0036630037,4092,2.9012349,2.765122,4092,1.6699281,1.6597574,4092,0.036734425,0.0,4092,0.9871053,0.93874633,4092,2.5372295,0.0,4092,0.025981897,0.025833063,4092,1.3901736,1.3250583,4092,1.7744836,1.7727578,4092
