condition,feature,cliffs_delta,p,median_cond,median_ctrl,padj
auxin,Brd4_n_foci,-0.002663920883985038,0.8220571,697.0,703.0,0.8220571279525757
auxin,Brd4_density_per_um3,-0.02896404659685403,0.014474706,1.1053087,1.1175786,0.019157698843628168
auxin,Brd4_foci_vol_mean_um3,-0.05629570554874552,2.0069217e-06,0.37297684,0.37541276,3.7629781957093655e-06
auxin,Brd4_foci_vol_median_um3,-0.035968171834738105,0.002387683,0.2974,0.3003,0.0032559312372045083
auxin,Brd4_foci_vol_cv,-0.0904603072096114,2.2225989e-14,0.7890623,0.7983599,7.693611466808266e-14
auxin,Brd4_condensed_fraction,-0.07114248935349099,1.8998239e-09,0.53214735,0.5371541,4.499582811608829e-09
auxin,Brd4_partition_coefficient,0.02317949431711308,0.05035861,1.6172717,1.6102333,0.05963519411651712
auxin,Brd4_mean_foci_intensity,-0.12896977505795215,1.3125899e-27,530.50464,553.60974,9.84442437376814e-27
auxin,Brd4_foci_local_dapi,0.04101928716163861,0.00053414947,156.38313,155.32257,0.0007511476906074677
auxin,Sc35_n_foci,0.08080236794293505,8.786821e-12,34.0,33.0,2.325923231589951e-11
auxin,Sc35_density_per_um3,0.09850857128450752,9.059193e-17,0.05474995,0.0528489,3.3971972749404763e-16
auxin,Sc35_foci_vol_mean_um3,-0.048150288862126245,4.8021648e-05,0.3104,0.3154558,7.203247150755487e-05
auxin,Sc35_foci_vol_median_um3,-0.026084562528315924,0.027649237,0.23185,0.23475,0.0345615460537374
auxin,Sc35_foci_vol_cv,-0.05487955239237097,3.6013325e-06,0.81619895,0.82463044,6.482398566731717e-06
auxin,Sc35_condensed_fraction,0.04192845659295896,0.00040045797,0.048511773,0.046821594,0.000581309953216283
auxin,Sc35_partition_coefficient,0.010845625283159688,0.35985896,2.9451702,2.922511,0.38556317133562906
auxin,Sc35_mean_foci_intensity,-0.11722967444290344,4.2887035e-23,736.5144,793.947,2.144351763420138e-22
auxin,Sc35_foci_local_dapi,0.013997397727203209,0.23731436,141.45973,141.27505,0.26697865314781666
auxin,DAPI_n_foci,0.08099033307271819,7.0925813e-12,12.0,12.0,1.9947884896632725e-11
auxin,DAPI_density_per_um3,0.08455503208758697,9.435342e-13,0.019573877,0.018416092,2.8306026142801977e-12
auxin,DAPI_foci_vol_mean_um3,0.011811184253415208,0.31869453,1.4597533,1.4588714,0.3497866813729449
auxin,DAPI_foci_vol_median_um3,0.007156212896466618,0.54574245,0.9302,0.9185,0.5581456896933642
auxin,DAPI_foci_vol_cv,0.019369843918828344,0.10199203,0.89274746,0.88428384,0.11768311548691529
auxin,DAPI_condensed_fraction,0.0896505653647992,3.7705695e-14,0.026203208,0.02440473,1.2119687795554618e-13
auxin,DAPI_partition_coefficient,0.06691278910267684,1.6133715e-08,0.8445561,0.8270206,3.630085831929364e-08
auxin,DAPI_mean_foci_intensity,0.05275632961386134,8.432388e-06,127.365875,124.30377,1.40539805215667e-05
auxin,DAPI_foci_local_dapi,0.07370396178281058,4.8958987e-10,238.81892,233.73764,1.223974671615835e-09
auxin,Pol2_n_foci,0.13476920791046765,4.212424e-30,7.0,6.0,9.477954150793072e-29
auxin,Pol2_density_per_um3,0.14726027397260277,1.7068426e-35,0.011322697,0.008932066,7.680791797544325e-34
auxin,Pol2_foci_vol_mean_um3,0.04984458565697758,2.5686128e-05,0.07081429,0.06752853,4.128127654569523e-05
auxin,Pol2_foci_vol_median_um3,0.026178731566550706,0.027035724,0.0525,0.051,0.0345615460537374
auxin,Pol2_foci_vol_cv,0.059950359304296263,4.001422e-07,0.66754067,0.62764144,7.828869100827116e-07
auxin,Pol2_condensed_fraction,0.12256747388739186,4.2239976e-25,0.0011537032,0.00087071443,2.7154270447981057e-24
auxin,Pol2_partition_coefficient,-0.0246723999014824,0.037230372,1.3163408,1.3257375,0.045280182683790055
auxin,Pol2_mean_foci_intensity,-0.06526231354343959,3.5783046e-08,230.742,237.31389,7.667795541367792e-08
