feature,auxin,drb,eed226,jq1,sgc_cbp30,triptolide,tsa
Brd4_condensed_fraction,-0.07114248935349099,0.5610963650746557,0.1514032089198436,-0.07325846148634829,0.010766528192627689,0.6359275447020472,-0.8621204929939648
Brd4_density_per_um3,-0.02896404659685403,0.2312167914950114,0.34464975974747714,-0.026062148826118126,0.14312054870814794,0.1719386560934657,-0.2676701963415765
Brd4_foci_vol_median_um3,-0.035968171834738105,-0.08993256082158674,-0.3143216867810147,-0.08306698353419628,-0.15994937877418047,-0.014519335615036821,-0.01800638832970547
Brd4_n_foci,-0.002663920883985038,0.025653931316573564,-0.005761057228657052,-0.01472943966353557,0.0036861941764609885,0.021326849819622185,-0.18327425950971388
Brd4_partition_coefficient,0.02317949431711308,0.5147441897812155,0.08208805871058589,0.005410465744458026,0.0288207199887085,0.5886304453246101,-0.8404034700617408
DAPI_condensed_fraction,0.0896505653647992,0.16561908935974978,0.21852388741011408,0.12511759242447007,0.11628599657438876,0.17334506420444518,-0.26718227470363276
DAPI_density_per_um3,0.08455503208758697,0.11553687131511525,0.2164969695510015,0.10677049669894378,0.1665019092632647,0.09387254695852287,-0.10175588556056958
DAPI_foci_vol_median_um3,0.007156212896466618,0.025584202261998312,-0.009391832890847773,0.02763658592049123,-0.016816127075680032,0.03832375382269415,-0.14288577953145631
DAPI_n_foci,0.08099033307271819,0.05594787125643208,0.0995815418510475,0.1025962925353312,0.12267033641943526,0.0535730453453529,-0.1320016026618619
DAPI_partition_coefficient,0.06691278910267684,0.09509278444153635,0.12312904163206273,0.023254376729639148,0.04947910110130738,0.10661231503205326,-0.233054014391472
Pol2_condensed_fraction,0.12256747388739186,0.4810114344706249,0.028686331862873393,0.23830218457272068,-0.11513166477838432,-0.481604921920331,0.10521994010909896
Pol2_density_per_um3,0.14726027397260277,0.4672726562659233,0.03599458322563298,0.20951153034662906,-0.07056137299107734,-0.3487250210931434,-0.0868616133842971
Pol2_foci_vol_median_um3,0.026178731566550706,0.28563151269027753,0.000988764895448524,0.146279714425692,-0.09682905894874172,-0.10910106068378222,0.2141258413168856
Pol2_n_foci,0.13476920791046765,0.40374257961799564,-0.008107994000030705,0.18969298819131697,-0.08471464048248478,-0.3492782781267607,-0.09773106674343968
Pol2_partition_coefficient,-0.0246723999014824,-0.04532426164830872,0.015640068647264416,0.11143141581403593,-0.23494451501661306,-0.8147932311331993,0.5005751158166831
Sc35_condensed_fraction,0.04192845659295896,0.5593480090593739,-0.04869079327559589,0.0668306360240174,0.2094856624056336,0.616391965264288,0.2712279544103082
Sc35_density_per_um3,0.09850857128450752,-0.7487257947162954,0.1012172976081982,0.0445661589862032,-0.0721416555086346,-0.9395256074965452,0.1297981285829275
Sc35_foci_vol_median_um3,-0.026084562528315924,0.23528245020579486,-0.20181462801466132,-0.012760101242189514,0.142222374810695,0.5395508351763556,-0.006459777477232143
Sc35_n_foci,0.08080236794293505,-0.7098952607360516,-0.05900229077486796,0.03891175979040207,-0.10002021797263327,-0.9165784749026632,0.02284363495513886
Sc35_partition_coefficient,0.010845625283159688,0.5605864093797923,0.07829904769195717,0.07269783485478065,0.2327336606356072,0.6910824706868377,0.11787797452107363
coloc_Brd4_Pol2_enrich,0.008181144979145571,0.18282164723623295,0.03143686735425755,0.025733624795668764,-0.04429509847678559,-0.17333938797648785,-0.04321840068083993
coloc_Brd4_Pol2_frac,0.13133742709451712,0.4757305956591662,0.04870054186380668,0.1793694194190829,-0.06869891624037261,-0.34175580446866305,-0.09890866860781433
coloc_Brd4_Pol2_nn_um,-0.1330846077294543,-0.3548471918033924,-0.07008378338120891,-0.19206146213866404,-0.011242718668818208,0.2486283500256481,0.02930731803724873
coloc_Brd4_Sc35_enrich,0.05381333511154307,-0.08233725772145828,0.015917616688092107,0.081361940080106,0.02513101627737524,-0.1431554501599155,0.0674169085661942
coloc_Brd4_Sc35_frac,0.10558825552099083,-0.6384991722111353,0.08254419945382097,0.0943624255185711,-0.02354749125477318,-0.8795505478611132,0.13558700993337913
coloc_Brd4_Sc35_nn_um,-0.1322407412628661,0.7289709619353912,-0.05776450679526779,-0.1159781983582765,-0.0036254639643248376,0.9105080644483128,-0.08044436360462281
coloc_Pol2_Sc35_enrich,0.09556378425123713,-0.22961302323978083,-0.031583418741001346,0.061252359009267066,-0.016626688486818253,-0.25826830198093353,-0.08191187913901121
coloc_Pol2_Sc35_frac,0.09952145718922623,-0.23581685723661738,-0.027540586024911384,0.06341612811391095,-0.017092693682455806,-0.2623217944728956,-0.07959557647471915
coloc_Pol2_Sc35_nn_um,-0.048928777774644994,0.72878974846791,-0.0023784404810699433,0.05431854676311665,0.003219273449987181,0.6373161182449383,0.13607676038630534
