{'fov': 117, 'n_nuclei': 177, 'n_foci': 139140}
{'fov': 34, 'n_nuclei': 173, 'n_foci': 133653}
{'fov': 134, 'n_nuclei': 203, 'n_foci': 154781}
{'fov': 182, 'n_nuclei': 232, 'n_foci': 166722}
{'fov': 50, 'n_nuclei': 259, 'n_foci': 204170}
{'fov': 68, 'n_nuclei': 255, 'n_foci': 198990}
{'fov': 116, 'n_nuclei': 161, 'n_foci': 125037}
{'fov': 149, 'n_nuclei': 203, 'n_foci': 152524}
{'fov': 18, 'n_nuclei': 175, 'n_foci': 139571}
{'fov': 35, 'n_nuclei': 178, 'n_foci': 142357}
{'fov': 20, 'n_nuclei': 236, 'n_foci': 188884}
{'fov': 135, 'n_nuclei': 252, 'n_foci': 187525}
{'fov': 183, 'n_nuclei': 166, 'n_foci': 113821}
{'fov': 51, 'n_nuclei': 158, 'n_foci': 115015}
{'fov': 148, 'n_nuclei': 152, 'n_foci': 115388}
{'fov': 70, 'n_nuclei': 176, 'n_foci': 127668}
{'fov': 150, 'n_nuclei': 133, 'n_foci': 101964}
{'fov': 82, 'n_nuclei': 182, 'n_foci': 146448}
{'fov': 99, 'n_nuclei': 172, 'n_foci': 132439}
{'fov': 71, 'n_nuclei': 203, 'n_foci': 155537}
{'fov': 119, 'n_nuclei': 197, 'n_foci': 158148}
{'fov': 19, 'n_nuclei': 237, 'n_foci': 193598}
{'fov': 137, 'n_nuclei': 234, 'n_foci': 179288}
{'fov': 83, 'n_nuclei': 241, 'n_foci': 190207}
{'fov': 52, 'n_nuclei': 152, 'n_foci': 113817}
{'fov': 138, 'n_nuclei': 213, 'n_foci': 163599}
{'fov': 165, 'n_nuclei': 157, 'n_foci': 119277}
{'fov': 184, 'n_nuclei': 162, 'n_foci': 116957}
{'fov': 38, 'n_nuclei': 200, 'n_foci': 152085}
{'fov': 186, 'n_nuclei': 203, 'n_foci': 150469}
{'fov': 88, 'n_nuclei': 0, 'n_foci': 0, 'status': 'no_nuclei'}
{'fov': 139, 'n_nuclei': 138, 'n_foci': 109525}
{'fov': 118, 'n_nuclei': 184, 'n_foci': 142636}
{'fov': 166, 'n_nuclei': 164, 'n_foci': 132884}
{'fov': 39, 'n_nuclei': 208, 'n_foci': 162811}
{'fov': 84, 'n_nuclei': 249, 'n_foci': 196802}
{'fov': 136, 'n_nuclei': 177, 'n_foci': 135217}
{'fov': 53, 'n_nuclei': 136, 'n_foci': 103438}
{'fov': 21, 'n_nuclei': 158, 'n_foci': 118065}
{'fov': 187, 'n_nuclei': 173, 'n_foci': 126278}
{'fov': 185, 'n_nuclei': 217, 'n_foci': 159248}
