imaging_round,block,plate,readout_number,feature,type,chr
1,RNA,1,1,RNA_E_Zbtb10,E,chr3
2,RNA,1,2,RNA_E_Prdm14,E,chr1
3,RNA,1,3,RNA_E1_Car2,E,chr3
4,RNA,1,4,RNA_E_Fn1,E,chr1
5,RNA,1,5,RNA_E_Rrp1b,E,chr17
6,RNA,1,6,RNA_E2_Car2,E,chr3
7,RNA,1,7,RNA_E_Tcfcp2l1,E,chr1
8,RNA,1,8,RNA_E2_Pou5f1,E,chr17
9,RNA,1,9,RNA_E_Sox2,E,chr3
10,RNA,1,10,RNA_E1_Inhbb,E,chr1
11,RNA,1,11,RNA_E1_Pou5f1,E,chr17
12,RNA,1,12,RNA_E1_Etl4,E,chr2
13,RNA,1,13,RNA_E1_Mcl1,E,chr3
14,RNA,1,14,RNA_E2_Inhbb,E,chr1
15,RNA,1,15,RNA_E_Gabbr1,E,chr17
16,RNA,1,16,RNA_E2_Etl4,E,chr2
17,RNA,1,17,RNA_E_Klf4,E,chr4
18,RNA,1,18,RNA_E_Klf3,E,chr5
19,RNA,1,19,RNA_E_mir290,E,chr7
20,RNA,1,20,RNA_E_Zfp638,E,chr6
21,RNA,1,21,RNA_E_Neat1,E,chr19
22,RNA,1,22,RNA_E2_Mcl1,E,chr3
23,RNA,1,23,RNA_E_Smg7,E,chr1
24,RNA,1,24,RNA_E_Ccnd3,E,chr17
25,RNA,1,25,RNA_E_Cbfa2t2,E,chr2
26,RNA,1,26,RNA_E_Macf1,E,chr4
27,RNA,1,27,RNA_E_Srrm4os,E,chr5
28,RNA,1,28,RNA_E_Ceacam1,E,chr7
29,RNA,1,29,RNA_E_Nanog,E,chr6
30,RNA,1,30,RNA_E2_Klf9,E,chr19
31,RNA,1,31,RNA_E_Mycn,E,chr12
32,RNA,1,32,RNA_E_Pias3,E,chr3
33,RNA,1,33,RNA_E_Enah,E,chr1
34,RNA,1,34,RNA_E_Mtcl1,E,chr17
35,RNA,1,35,RNA_E_Mybl2,E,chr2
36,RNA,1,36,RNA_E_Epha2,E,chr4
37,RNA,1,37,RNA_E_Med13l,E,chr5
38,RNA,1,38,RNA_E_Abhd17c,E,chr7
39,RNA,1,39,RNA_E_Cd9,E,chr6
40,RNA,1,40,RNA_E1_Klf9,E,chr19
41,RNA,1,41,RNA_E_Esrrb,E,chr12
42,RNA,1,42,RNA_E_Sall1,E,chr8
43,RNA,1,43,RNA_E_Tet1,E,chr10
44,RNA,1,44,RNA_E_Ranbp17,E,chr11
45,RNA,1,45,RNA_E_Trim71,E,chr9
46,RNA,1,46,RNA_E_Lncenc1,E,chr13
47,RNA,1,47,RNA_E_Hes1,E,chr16
48,RNA,1,48,RNA_E_Csnk1a1,E,chr18
49,RNA,1,49,RNA_P_Sik1,P,chr17
50,RNA,1,50,RNA_P_Prdm14,P,chr1
51,RNA,1,51,RNA_P_Rrp1b,P,chr17
52,RNA,1,52,RNA_P_Fn1,P,chr1
53,RNA,1,53,RNA_P_Pou5f1,P,chr17
54,RNA,1,54,RNA_P_Tcfcp2l1,P,chr1
55,RNA,1,55,RNA_P_Zfp57,P,chr17
56,RNA,1,56,RNA_P_Zbtb10,P,chr3
57,RNA,1,57,RNA_P_Gabbr1,P,chr17
58,RNA,1,58,RNA_P_Inhbb,P,chr1
59,RNA,1,59,RNA_P_Ccnd3,P,chr17
60,RNA,1,60,RNA_P_Car2,P,chr3
61,RNA,1,61,RNA_P_Bysl,P,chr17
62,RNA,1,62,RNA_P_Smg7,P,chr1
63,RNA,1,63,RNA_P_Ankrd12,P,chr17
64,RNA,1,64,RNA_P_Sox2,P,chr3
