name,type,chr,strand,rna_probe,rna_start,rna_end,dna_start,dna_end,tss_used,tss_offset,note
E_Sox2,E,chr3,-,yes,34754000,34764000,34754000,34764000,,,
P_Sox2,P,chr3,+,yes,34650405,34660405,34645405,34655405,34650405,0,
E1_Etl4,E,chr2,-,yes,20648000,20658000,20648000,20658000,,,
E2_Etl4,E,chr2,-,yes,20666000,20676000,20666000,20676000,,,
P_Etl4,P,chr2,+,yes,20519000,20529000,20514791,20524791,20519791,791,
E_Cbfa2t2,E,chr2,-,yes,154419000,154429000,154419000,154429000,,,
P_Cbfa2t2,P,chr2,+,yes,154436000,154446000,154431481,154441481,154436481,481,
E1_Mcl1,E,chr3,+,yes,95645000,95655000,95645000,95655000,,,
E2_Mcl1,E,chr3,-,yes,95697000,95707000,95697000,95707000,,,
P_Mcl1,P,chr3,+,yes,95658788,95668788,95653788,95663788,95658788,0,
E_Macf1,E,chr4,+,yes,123662000,123672000,123662000,123672000,,,
P_Macf1,P,chr4,-,yes,123674000,123684000,123679360,123689360,123684360,360,
E_Med13l,E,chr5,+,yes,118434000,118450000,118434000,118450000,,,
P_Med13l,P,chr5,+,yes,118561000,118571000,118555739,118565739,118560739,-261,
E_mir290,E,chr7,-,yes,3200000,3215000,3200000,3215000,,,
P_mir290,P,chr7,+,yes,3217000,3225000,3213626,3223626,3218626,1626,PROVISIONAL: pri-miR-290 cluster start (Mir290a); no Ensembl TSS
E_Sall1,E,chr8,-,yes,89002000,89016000,89002000,89016000,,,
P_Sall1,P,chr8,-,yes,89034162,89044162,89039162,89049162,89044162,-9838,"FIX: - strand gene body; RNA moved to [TSS-10kb,TSS], DNA re-centered on TSS"
E_Tet1,E,chr10,+,yes,62890000,62900000,62890000,62900000,,,
P_Tet1,P,chr10,-,yes,62870000,62880000,62875014,62885014,62880014,14,
E_Ranbp17,E,chr11,+,yes,33533000,33546000,33533000,33546000,,,
P_Ranbp17,P,chr11,-,yes,33504000,33514000,33508746,33518746,33513746,-254,
E_Esrrb,E,chr12,-,yes,86497000,86507000,86497000,86507000,,,
P_Esrrb,P,chr12,+,yes,86470000,86480000,86465117,86475117,86470117,117,
E_Nanog,E,chr6,+,yes,122697000,122707000,122697000,122707000,,,
P_Nanog,P,chr6,+,yes,122707489,122717489,122702489,122712489,122707489,0,
E1_Pou5f1,E,chr17,+,yes,35495000,35505000,35495000,35505000,,,
E2_Pou5f1,E,chr17,-,yes,35484000,35494000,35484000,35494000,,,
P_Pou5f1,P,chr17,+,yes,35506018,35510772,35501018,35511018,35506018,0,
E_Mtcl1,E,chr17,-,yes,66477500,66487500,66477500,66487500,,,
P_Mtcl1,P,chr17,-,yes,66440000,66450000,66444750,66454750,66449750,-250,
P_Ddx11,P,chr17,+,yes,66123500,66133500,66118520,66128520,66123520,20,STRAND FIX: Ensembl Ddx11 is + (sheet said -); TSS=window start; RNA strand also flips to +
P_Ankrd12,P,chr17,-,yes,66067000,66077000,66072046,66082046,66077046,46,
E_Pias3,E,chr3,-,yes,96673000,96683000,96673000,96683000,,,
P_Pias3,P,chr3,+,yes,96696000,96706000,96691384,96701384,96696384,384,
E_Fn1,E,chr1,+,yes,72212000,72222000,72212000,72222000,,,
P_Fn1,P,chr1,-,yes,71643000,71653000,71648161,71658161,71653161,161,
E_Tcfcp2l1,E,chr1,+,yes,119070000,119080000,119070000,119080000,,,
P_Tcfcp2l1,P,chr1,+,yes,118628000,118638000,118622946,118632946,118627946,-54,
E_Smg7,E,chr1,-,yes,153090000,153100000,153090000,153100000,,,
P_Smg7,P,chr1,-,yes,152892500,152902500,152897622,152907622,152902622,122,
P_Lamc1,P,chr1,-,yes,153323000,153333000,153327786,153337786,153332786,-214,
E_Enah,E,chr1,+,yes,182026000,182036000,182026000,182036000,,,
P_Enah,P,chr1,-,yes,182010000,182020000,182014990,182024990,182019990,-10,
E_Mybl2,E,chr2,-,yes,163027000,163037000,163027000,163037000,,,
P_Mybl2,P,chr2,+,yes,163054500,163064500,163049687,163059687,163054687,187,
E_Epha2,E,chr4,+,yes,141282000,141292000,141282000,141292000,,,
P_Epha2,P,chr4,+,yes,141301000,141311000,141296240,141306240,141301240,240,
E_Klf3,E,chr5,+,yes,64859000,64869000,64859000,64869000,,,
P_Klf3,P,chr5,+,yes,64803000,64813000,64798388,64808388,64803388,388,
